plugin_alternate_object_trees_label,Label
plugin_alternate_object_trees_field,Feld
plugin_alternate_object_trees_input,Eingabe
plugin_alternate_object_trees_relations,Relation
plugin_alternate_object_trees_condition,Bedingung
plugin_alternate_object_trees_showEmpty,Zeige leere an
plugin_alternate_object_trees_levels,Levels
plugin_alternate_object_trees_config, Alternative Bäume
pimcore_panel_tree_objects_alternate_tree,Alternative Objekt Bäume
plugin_alternate_object_trees_add_config,Baum hinzufügen
plugin_alternate_object_trees_config_saved_successfully,Erfolgreich
plugin_alternate_object_trees_add_tree,Baum hinzufügen
plugin_alternate_object_trees_name,Geben Sie den neuen Namen des Baums ein
plugin_alternateobjecttrees_config,Alternative Objekt Bäume Konfiguration